name,energy,flux
Be Breakup,0.033,0.32271372549019606
Be Breakup,0.099,0.0003196078431372549
Be Breakup,0.165,0.00034901960784313726
Be Breakup,0.231,0.0003647058823529412
Be Breakup,0.29700000000000004,0.00036862745098039214
Be Breakup,0.363,0.0003745098039215686
Be Breakup,0.42900000000000005,0.00036862745098039214
Be Breakup,0.495,0.0004196078431372549
Be Breakup,0.561,0.00047058823529411766
Be Breakup,0.627,0.00044509803921568625
Be Breakup,0.6930000000000001,0.00041372549019607843
Be Breakup,0.759,0.0004333333333333333
Be Breakup,0.8250000000000001,0.00044509803921568625
Be Breakup,0.891,0.00047647058823529413
Be Breakup,0.9570000000000001,0.00038627450980392155
Be Breakup,1.0230000000000001,0.0005
Be Breakup,1.089,0.0004980392156862745
Be Breakup,1.1550000000000002,0.0005
Be Breakup,1.221,0.0004823529411764706
Be Breakup,1.287,0.0005647058823529411
Be Breakup,1.3530000000000002,0.00043529411764705884
Be Breakup,1.419,0.000507843137254902
Be Breakup,1.4849999999999999,0.0005509803921568627
Be Breakup,1.5510000000000002,0.0005372549019607843
Be Breakup,1.617,0.0005450980392156863
Be Breakup,1.6830000000000003,0.00031176470588235297
Be Breakup,1.749,0.0002941176470588235
Be Breakup,1.815,0.00023137254901960783
Be Breakup,1.8810000000000002,0.00024509803921568627
Be Breakup,1.947,0.00028235294117647056
Be Breakup,2.013,0.0002705882352941176
Be Breakup,2.079,0.0002803921568627451
Be Breakup,2.145,0.0002588235294117647
Be Breakup,2.2110000000000003,0.00030784313725490197
Be Breakup,2.277,0.0002843137254901961
Be Breakup,2.343,0.00031372549019607844
Be Breakup,2.4090000000000003,0.00029215686274509803
Be Breakup,2.475,0.00035882352941176473
Be Breakup,2.5410000000000004,0.0004
Be Breakup,2.607,0.0003411764705882353
Be Breakup,2.673,0.0003843137254901961
Be Breakup,2.739,0.0003803921568627451
Be Breakup,2.805,0.00035098039215686273
Be Breakup,2.871,0.00037254901960784314
Be Breakup,2.9370000000000003,0.00037254901960784314
Be Breakup,3.003,0.0003784313725490196
Be Breakup,3.069,0.00036274509803921567
Be Breakup,3.1350000000000002,0.0003411764705882353
Be Breakup,3.201,0.000392156862745098
Be Breakup,3.2670000000000003,0.0004156862745098039
Be Breakup,3.333,0.00040392156862745096
Be Breakup,3.399,0.0004549019607843137
Be Breakup,3.4650000000000003,0.00040980392156862743
Be Breakup,3.531,0.0003882352941176471
Be Breakup,3.5970000000000004,0.0004156862745098039
Be Breakup,3.6630000000000003,0.0004019607843137255
Be Breakup,3.729,0.0004196078431372549
Be Breakup,3.795,0.00048627450980392154
Be Breakup,3.861,0.00042745098039215684
Be Breakup,3.927,0.0004509803921568627
Be Breakup,3.993,0.00040392156862745096
Be Breakup,4.059,0.0004411764705882353
Be Breakup,4.125,0.000519607843137255
Be Breakup,4.191000000000001,0.0005372549019607843
Be Breakup,4.257,0.00042745098039215684
Be Breakup,4.323,0.00046862745098039213
Be Breakup,4.389,0.0004647058823529412
Be Breakup,4.455,0.0005254901960784314
Be Breakup,4.521000000000001,0.0004549019607843137
Be Breakup,4.587,0.0004549019607843137
Be Breakup,4.6530000000000005,0.0005549019607843138
Be Breakup,4.719,0.0005392156862745098
Be Breakup,4.785,0.0005098039215686275
Be Breakup,4.851000000000001,0.0005254901960784314
Be Breakup,4.917,0.000511764705882353
Be Breakup,4.9830000000000005,0.0005490196078431372
Be Breakup,5.0489999999999995,0.0004803921568627451
Be Breakup,5.115,0.0005156862745098039
Be Breakup,5.181000000000001,0.00048431372549019607
Be Breakup,5.247,0.0005254901960784314
Be Breakup,5.313000000000001,0.0005450980392156863
Be Breakup,5.379,0.0005980392156862745
Be Breakup,5.445,0.0006137254901960785
Be Breakup,5.511000000000001,0.0006313725490196078
Be Breakup,5.577,0.0006019607843137255
Be Breakup,5.643000000000001,0.0005764705882352941
Be Breakup,5.709,0.0005941176470588235
Be Breakup,5.775,0.0005352941176470588
Be Breakup,5.841,0.0006196078431372549
Be Breakup,5.907,0.0006137254901960785
Be Breakup,5.973000000000001,0.0006607843137254902
Be Breakup,6.039,0.0006215686274509804
Be Breakup,6.105,0.0005705882352941177
Be Breakup,6.171,0.000596078431372549
Be Breakup,6.237,0.0006862745098039216
Be Breakup,6.303000000000001,0.0006235294117647059
Be Breakup,6.369,0.0005686274509803922
Be Breakup,6.4350000000000005,0.000692156862745098
Be Breakup,6.501,0.0007372549019607843
Be Breakup,6.567,0.0006176470588235294
Be Breakup,6.633000000000001,0.0006156862745098039
Be Breakup,6.699,0.0007098039215686275
Be Breakup,6.765000000000001,0.0006294117647058824
Be Breakup,6.831,0.0006843137254901961
Be Breakup,6.897,0.0007117647058823529
Be Breakup,6.963000000000001,0.000696078431372549
Be Breakup,7.029,0.0006725490196078432
Be Breakup,7.095000000000001,0.0006843137254901961
Be Breakup,7.161,0.0006470588235294118
Be Breakup,7.227,0.0006294117647058824
Be Breakup,7.293000000000001,0.0006764705882352941
Be Breakup,7.359,0.0007039215686274509
Be Breakup,7.425000000000001,0.000803921568627451
Be Breakup,7.491,0.0007686274509803922
Be Breakup,7.557,0.0007470588235294118
Be Breakup,7.623000000000001,0.0007764705882352942
Be Breakup,7.689,0.0006607843137254902
Be Breakup,7.755000000000001,0.0007490196078431372
Be Breakup,7.821,0.0007862745098039215
Be Breakup,7.8870000000000005,0.0007745098039215686
Be Breakup,7.953,0.0007470588235294118
Be Breakup,8.019,0.0007372549019607843
Be Breakup,8.085,0.0008098039215686274
Be Breakup,8.151,0.0007490196078431372
